ec_id   fuel_c  fuel_m  fuel_n  max_canopy  start_age   forest  forest_shrub    obstruct
-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
600	98	98	98	0	0	0	0	0
601	98	98	98	0	0	0	0	0
602	98	98	98	0	0	0	0	0
603	99	99	99	0	0	0	0	0
604	98	98	98	0	0	0	0	0
605	98	98	98	0	0	0	0	0
606	98	98	98	0	0	0	0	0
607	98	98	98	0	0	0	0	0
608	99	99	99	0	0	0	0	0
609	14	14	14	0	0	0	0	0
610	99	99	99	0	0	0	0	0
611	98	98	98	0	0	0	0	0
612	14	14	14	0	0	0	0	0
613	98	98	98	0	0	0	0	0
614	98	98	98	0	0	0	0	0
615	15	15	15	0	0	0	0	0
616	98	98	98	0	0	0	0	0
617	98	98	98	0	0	0	0	0
618	98	98	98	0	0	0	0	0
619	98	98	98	0	0	0	0	0
620	98	98	98	0	0	0	0	0
621	98	98	98	0	0	0	0	0
622	98	98	98	0	0	0	0	0
623	98	98	98	0	0	0	0	0
624	14	14	14	0	0	0	0	0
625	15	15	15	25	35	0	0	0
626	15	15	15	50	35	0	1	0
627	15	15	15	10	35	0	1	0
628	16	16	16	90	50	1	1	0
629	16	16	16	90	50	1	1	0
630	182	182	182	80	50	0	1	0
631	16	16	16	80	80	1	1	0
632	99	99	99	0	0	0	0	0
633	141	141	141	0	0	0	0	0
634	146	146	143	10	20	0	1	1
635	123	106	103	10	0	0	1	0
636	99	99	99	0	0	0	0	0
637	99	99	99	0	0	0	0	0
638	99	99	99	0	0	0	0	0
639	99	99	99	0	0	0	0	0
640	124	123	103	25	20	0	1	1
641	146	162	144	40	20	1	1	1
642	186	186	182	75	50	1	1	1
643	189	186	182	100	80	1	1	1
644	189	186	182	90	80	1	1	1
645	189	186	182	100	80	1	1	1
646	162	162	162	75	50	1	1	1
647	189	186	182	100	80	1	1	1
648	123	106	103	10	0	0	0	0
649	148	143	146	25	0	0	1	1
650	103	103	103	0	0	0	0	0
651	189	186	182	10	0	0	0	0
652	99	99	99	10	0	0	0	0
653	163	163	163	10	0	0	0	0
654	99	99	99	10	0	0	0	0
655	99	99	99	0	0	0	0	0
656 99  99  99  0   0   0   0   0
736	189	186	182	90	80	1	1	1
